DATE,OPEN,CLOSE,CHOICES,INDIC1,INDIC2,ACCOUNT,POSITION,MKTVALUE,NETWORTH,FLOW,COMMISSION,HIST_PRICE
2025-07-15,148.92999267578125,148.5800018310547,buy,140.1449996948242,139.78400039672852,253688.20304870605,-885,-131493.3016204834,122194.90142822266,-0,-0,143.30999755859375
2025-07-16,149.3000030517578,150.91000366210938,buy,142.16800079345703,140.2590003967285,27.49786376953125,814,122840.74298095703,122868.24084472656,-253660.70518493652,-0,149.3000030517578
2025-07-17,151.55999755859375,153.99000549316406,buy,144.3550018310547,141.04850082397462,27.49786376953125,814,125347.86447143555,125375.36233520508,-0,-0,149.3000030517578
2025-07-18,154.86000061035156,153.52000427246094,buy,146.27100219726563,141.72650070190429,27.49786376953125,814,124965.2834777832,124992.78134155273,-0,-0,149.3000030517578
2025-07-21,153.8800048828125,151.7899932861328,buy,147.53800201416016,142.45100021362305,27.49786376953125,814,123557.05453491211,123584.55239868164,-0,-0,149.3000030517578
2025-07-22,150.85000610351563,149.07000732421875,buy,148.4740020751953,142.90850067138672,27.49786376953125,814,121342.98596191406,121370.4838256836,-0,-0,149.3000030517578
2025-07-23,149.74000549316406,154.6300048828125,buy,149.6240020751953,143.4785011291504,27.49786376953125,814,125868.82397460938,125896.3218383789,-0,-0,149.3000030517578
2025-07-24,153.97999572753906,154.86000061035156,buy,150.86000213623046,144.07650146484374,27.49786376953125,814,126056.04049682617,126083.5383605957,-0,-0,149.3000030517578
2025-07-25,155.6300048828125,158.8000030517578,buy,152.53000183105468,144.80400161743165,27.49786376953125,814,129263.20248413086,129290.70034790039,-0,-0,149.3000030517578
2025-07-28,159.8800048828125,157.8800048828125,buy,153.4030029296875,146.16100158691407,27.49786376953125,814,128514.32397460938,128541.8218383789,-0,-0,149.3000030517578
2025-07-29,158.71499633789063,156.24000549316406,buy,154.16900329589845,147.15700149536133,27.49786376953125,814,127179.36447143555,127206.86233520508,-0,-0,149.3000030517578
2025-07-30,157.36500549316406,158.61000061035156,buy,154.93900299072266,148.55350189208986,27.49786376953125,814,129108.54049682617,129136.0383605957,-0,-0,149.3000030517578
2025-07-31,159.99000549316406,158.35000610351563,buy,155.3750030517578,149.86500244140626,27.49786376953125,814,128896.90496826172,128924.40283203125,-0,-0,149.3000030517578
2025-08-01,155.0500030517578,154.27000427246094,buy,155.45000305175782,150.86050262451172,27.49786376953125,814,125575.7834777832,125603.28134155273,-0,-0,149.3000030517578
2025-08-04,158.52999877929688,160.66000366210938,buy,156.33700408935547,151.9375030517578,27.49786376953125,814,130777.24298095703,130804.74084472656,-0,-0,149.3000030517578
2025-08-05,171.80999755859375,173.27000427246094,buy,158.7570037841797,153.6155029296875,27.49786376953125,814,141041.7834777832,141069.28134155273,-0,-0,149.3000030517578
2025-08-06,171.1750030517578,179.5399932861328,buy,161.2480026245117,155.4360023498535,27.49786376953125,814,146145.5545349121,146173.05239868164,-0,-0,149.3000030517578
2025-08-07,181.0099945068359,182.1999969482422,buy,163.98200225830078,157.42100219726564,27.49786376953125,814,148310.79751586914,148338.29537963867,-0,-0,149.3000030517578
2025-08-08,184.73500061035156,186.9600067138672,buy,166.79800262451172,159.66400222778321,27.49786376953125,814,152185.4454650879,152212.94332885742,-0,-0,149.3000030517578
2025-08-11,186.47000122070313,182.67999267578125,buy,169.2780014038086,161.34050216674805,27.49786376953125,814,148701.51403808594,148729.01190185547,-0,-0,149.3000030517578
2025-08-12,184.6999969482422,186.97000122070313,buy,172.3510009765625,163.26000213623047,27.49786376953125,814,152193.58099365234,152221.07885742188,-0,-0,149.3000030517578
2025-08-13,189,184.3699951171875,buy,174.9270004272461,164.93300170898436,27.49786376953125,814,150077.17602539063,150104.67388916016,-0,-0,149.3000030517578
2025-08-14,182.41000366210935,181.02000427246097,buy,177.19400024414063,166.2845016479492,27.49786376953125,814,147350.28347778323,147377.78134155276,-0,-0,149.3000030517578
2025-08-15,179.72500610351563,177.1699981689453,buy,179.48399963378907,167.46700134277344,27.49786376953125,814,144216.37850952148,144243.87637329102,-0,-0,149.3000030517578
2025-08-18,175.27000427246094,174.02999877929688,buy,180.8209991455078,168.57900161743163,27.49786376953125,814,141660.41900634766,141687.9168701172,-0,-0,149.3000030517578
2025-08-19,171.36000061035156,157.75,buy,179.2689987182617,169.01300125122071,27.49786376953125,814,128408.5,128435.99786376953,-0,-0,149.3000030517578
2025-08-20,152.3000030517578,156.00999450683594,buy,176.91599884033204,169.08200073242188,27.49786376953125,814,126992.13552856445,127019.63339233398,-0,-0,149.3000030517578
2025-08-21,157.1699981689453,156.17999267578125,buy,174.31399841308593,169.14800033569335,27.49786376953125,814,127130.51403808594,127158.01190185547,-0,-0,149.3000030517578
2025-08-22,155.31500244140625,158.74000549316406,buy,171.49199829101562,169.14500045776367,27.49786376953125,814,129214.36447143555,129241.86233520508,-0,-0,149.3000030517578
2025-08-25,156.10000610351563,157.1699981689453,short,168.94099884033204,169.1095001220703,27.49786376953125,814,127936.37850952148,127963.87637329102,-0,-0,149.3000030517578
2025-08-26,155.38999938964844,160.8699951171875,short,166.33099822998048,169.34099960327148,253002.4168701172,-814,-130948.17602539063,122054.24084472656,252974.91900634766,-0,155.38999938964844
2025-08-27,162.32000732421875,156.72000122070313,short,163.56599884033204,169.24649963378906,253002.4168701172,-814,-127570.08099365234,125432.33587646484,-0,-0,155.38999938964844
2025-08-28,157.6300048828125,158.1199951171875,short,161.2759979248047,169.23499908447266,253002.4168701172,-814,-128709.67602539063,124292.74084472656,-0,-0,155.38999938964844
2025-08-29,156.97999572753906,156.7100067138672,short,159.22999877929686,169.35699920654298,253002.4168701172,-814,-127561.94546508789,125440.4714050293,-0,-0,155.38999938964844
